[INFO] Connecting to vehicle at 127.0.0.1:14550 ...
CRITICAL:autopilot:Potential Thrust Loss (4)
[TAKEOFF] Alt: 0.57 m
[TAKEOFF] Alt: 0.58 m
[TAKEOFF] Alt: 0.58 m
[TAKEOFF] Alt: 0.56 m
[TAKEOFF] Alt: 0.52 m
[TAKEOFF] Alt: 0.47 m
[TAKEOFF] Alt: 0.42 m
[TAKEOFF] Alt: 0.37 m
[TAKEOFF] Alt: 0.37 m
[TAKEOFF] Alt: 0.34 m
[TAKEOFF] Alt: 0.31 m
[TAKEOFF] Alt: 0.28 m
[TAKEOFF] Alt: 0.27 m
[TAKEOFF] Alt: 0.26 m
[TAKEOFF] Alt: 0.22 m
[TAKEOFF] Alt: 0.13 m
[TAKEOFF] Alt: 0.09 m
[TAKEOFF] Alt: 0.08 m
[TAKEOFF] Alt: 0.07 m
[TAKEOFF] Alt: 0.03 m
[TAKEOFF] Alt: 0.01 m
[TAKEOFF] Alt: -0.01 m
[TAKEOFF] Alt: -0.01 m
[TAKEOFF] Alt: -0.00 m
[TAKEOFF] Alt: 0.01 m
[TAKEOFF] Alt: 0.02 m
[TAKEOFF] Alt: 0.03 m
[TAKEOFF] Alt: 0.06 m
[TAKEOFF] Alt: 0.07 m
[TAKEOFF] Alt: 0.09 m
[TAKEOFF] Alt: 0.10 m
[TAKEOFF] Alt: 0.08 m
[TAKEOFF] Alt: 0.08 m
[TAKEOFF] Alt: 0.11 m
[TAKEOFF] Alt: 0.15 m
[TAKEOFF] Alt: 0.18 m
[TAKEOFF] Alt: 0.19 m
Traceback (most recent call last):
  File "/home/kinetic-indowings/YoloV11-Ultralytics/striking.py", line 217, in <module>
    run(
  File "/home/kinetic-indowings/YoloV11-Ultralytics/striking.py", line 84, in run
    vehicle = connect_and_takeoff("127.0.0.1:14550", target_alt=15.0)
  File "/home/kinetic-indowings/YoloV11-Ultralytics/striking.py", line 57, in connect_and_takeoff
    time.sleep(0.5)
KeyboardInterrupt
